Lineup,Day,Date,Location
4B,Friday,"May 17, 2019",Las Vegas
ABOVE & BEYOND,Friday,"May 17, 2019",Las Vegas
ALESSO,Friday,"May 17, 2019",Las Vegas
ALISON WONDERLAND,Friday,"May 17, 2019",Las Vegas
ALY & FILA,Friday,"May 17, 2019",Las Vegas
ANDY C,Friday,"May 17, 2019",Las Vegas
ANGERFIST,Friday,"May 17, 2019",Las Vegas
ARKHAM KNIGHTS,Friday,"May 17, 2019",Las Vegas
AUDIEN,Friday,"May 17, 2019",Las Vegas
BEN NICKY PRESENTS XTREME,Friday,"May 17, 2019",Las Vegas
BIJOU,Friday,"May 17, 2019",Las Vegas
BILL NYE (OPENING CEREMONY),Friday,"May 17, 2019",Las Vegas
BLACKLIZT,Friday,"May 17, 2019",Las Vegas
BORN DIRTY,Friday,"May 17, 2019",Las Vegas
CAMELPHAT,Friday,"May 17, 2019",Las Vegas
CARTA B2B YAKO,Friday,"May 17, 2019",Las Vegas
CHRIS LORENZO,Friday,"May 17, 2019",Las Vegas
DACK JANIELS,Friday,"May 17, 2019",Las Vegas
DANNY BYRD B2B RENE LAVICE,Friday,"May 17, 2019",Las Vegas
DAVID GUETTA,Friday,"May 17, 2019",Las Vegas
DEADMAU5,Friday,"May 17, 2019",Las Vegas
DEORRO,Friday,"May 17, 2019",Las Vegas
DR. PHUNK,Friday,"May 17, 2019",Las Vegas
DREZO,Friday,"May 17, 2019",Las Vegas
DUCKY (LIVE),Friday,"May 17, 2019",Las Vegas
DUSTYCLOUD,Friday,"May 17, 2019",Las Vegas
EATS EVERYTHING B2B PATRICK TOPPING,Friday,"May 17, 2019",Las Vegas
ELEPHANTE,Friday,"May 17, 2019",Las Vegas
ELI BROWN B2B MASON MAYNARD,Friday,"May 17, 2019",Las Vegas
ERIC PRYDZ,Friday,"May 17, 2019",Las Vegas
EXCISION,Friday,"May 17, 2019",Las Vegas
FALLEN B2B FURY + MC DINO,Friday,"May 17, 2019",Las Vegas
FISHER,Friday,"May 17, 2019",Las Vegas
FRICTION B@B METRIK,Friday,"May 17, 2019",Las Vegas
FUNTCASE,Friday,"May 17, 2019",Las Vegas
GANJA WHITE NIGHT,Friday,"May 17, 2019",Las Vegas
GARETH EMERY,Friday,"May 17, 2019",Las Vegas
GENTECH (SCOT PROJECT VS MARK SHERRY),Friday,"May 17, 2019",Las Vegas
GIUSEPPE OTTAVIANI LIVE 2.0,Friday,"May 17, 2019",Las Vegas
THE GLITCH MOB,Friday,"May 17, 2019",Las Vegas
GORGON CITY (LIVE),Friday,"May 17, 2019",Las Vegas
GREEN VELVET PRESENTS LA LA LAND,Friday,"May 17, 2019",Las Vegas
HOLY GOOF,Friday,"May 17, 2019",Las Vegas
I_O,Friday,"May 17, 2019",Las Vegas
JASE THIRLWALL,Friday,"May 17, 2019",Las Vegas
JOHN ASKEW,Friday,"May 17, 2019",Las Vegas
JOYRYDE,Friday,"May 17, 2019",Las Vegas
JUSTIN MARTIN,Friday,"May 17, 2019",Las Vegas
KENDALL,Friday,"May 17, 2019",Las Vegas
KIKEONE,Friday,"May 17, 2019",Las Vegas
LIL TEXAS,Friday,"May 17, 2019",Las Vegas
LIQUID STRANGER,Friday,"May 17, 2019",Las Vegas
MADGRRL,Friday,"May 17, 2019",Las Vegas
MALAA,Friday,"May 17, 2019",Las Vegas
MIHALIS SAFRAS,Friday,"May 17, 2019",Las Vegas
MORELIA,Friday,"May 17, 2019",Las Vegas
NIKO ZOGRAFOS,Friday,"May 17, 2019",Las Vegas
PARTY FAVOR,Friday,"May 17, 2019",Las Vegas
PAUL DENTON,Friday,"May 17, 2019",Las Vegas
THE PROPHET,Friday,"May 17, 2019",Las Vegas
QUIX,Friday,"May 17, 2019",Las Vegas
RAN-D,Friday,"May 17, 2019",Las Vegas
REDLIGHT,Friday,"May 17, 2019",Las Vegas
RICK TRAINOR,Friday,"May 17, 2019",Las Vegas
